행정구분,년도,직종구분,데이터구분,데이터
전국,2008,합계,인원수,402227
전국,2008,상근의사,인원수,73936
전국,2008,비상근의사,인원수,886
전국,2008,치과의사,인원수,19002
전국,2008,한의사,인원수,13855
전국,2008,조산사,인원수,859
전국,2008,간호사,인원수,107713
전국,2008,간호조무사,인원수,109149
전국,2008,의료기사,인원수,68995
전국,2008,의무기록사,인원수,2733
전국,2008,약사,인원수,5099
서울,2008,합계,인원수,103868
서울,2008,상근의사,인원수,22616
서울,2008,비상근의사,인원수,730
서울,2008,치과의사,인원수,6048
서울,2008,한의사,인원수,3946
서울,2008,조산사,인원수,151
서울,2008,간호사,인원수,30556
서울,2008,간호조무사,인원수,23176
서울,2008,의료기사,인원수,14072
서울,2008,의무기록사,인원수,595
서울,2008,약사,인원수,1978
부산,2008,합계,인원수,33339
부산,2008,상근의사,인원수,5728
부산,2008,비상근의사,인원수,49
부산,2008,치과의사,인원수,1318
부산,2008,한의사,인원수,1166
부산,2008,조산사,인원수,184
부산,2008,간호사,인원수,8843
부산,2008,간호조무사,인원수,10606
부산,2008,의료기사,인원수,4882
부산,2008,의무기록사,인원수,264
부산,2008,약사,인원수,299
대구,2008,합계,인원수,22603
대구,2008,상근의사,인원수,4311
대구,2008,비상근의사,인원수,
대구,2008,치과의사,인원수,1009
대구,2008,한의사,인원수,808
대구,2008,조산사,인원수,41
대구,2008,간호사,인원수,6243
대구,2008,간호조무사,인원수,5436
대구,2008,의료기사,인원수,4370
대구,2008,의무기록사,인원수,176
대구,2008,약사,인원수,209
인천,2008,합계,인원수,17878
인천,2008,상근의사,인원수,3223
인천,2008,비상근의사,인원수,42
인천,2008,치과의사,인원수,941
인천,2008,한의사,인원수,558
인천,2008,조산사,인원수,6
인천,2008,간호사,인원수,4298
인천,2008,간호조무사,인원수,5495
인천,2008,의료기사,인원수,3095
인천,2008,의무기록사,인원수,78
인천,2008,약사,인원수,142
광주,2008,합계,인원수,14642
광주,2008,상근의사,인원수,2655
광주,2008,비상근의사,인원수,1
광주,2008,치과의사,인원수,769
광주,2008,한의사,인원수,399
광주,2008,조산사,인원수,17
광주,2008,간호사,인원수,4217
광주,2008,간호조무사,인원수,3324
광주,2008,의료기사,인원수,3019
광주,2008,의무기록사,인원수,118
광주,2008,약사,인원수,123
대전,2008,합계,인원수,15602
대전,2008,상근의사,인원수,3050
대전,2008,비상근의사,인원수,2
대전,2008,치과의사,인원수,610
대전,2008,한의사,인원수,530
대전,2008,조산사,인원수,13
대전,2008,간호사,인원수,4231
대전,2008,간호조무사,인원수,4127
대전,2008,의료기사,인원수,2780
대전,2008,의무기록사,인원수,132
대전,2008,약사,인원수,127
울산,2008,합계,인원수,9218
울산,2008,상근의사,인원수,1246
울산,2008,비상근의사,인원수,
울산,2008,치과의사,인원수,362
울산,2008,한의사,인원수,298
울산,2008,조산사,인원수,20
울산,2008,간호사,인원수,2402
울산,2008,간호조무사,인원수,3432
울산,2008,의료기사,인원수,1353
울산,2008,의무기록사,인원수,47
울산,2008,약사,인원수,58
경기,2008,합계,인원수,72801
경기,2008,상근의사,인원수,13403
경기,2008,비상근의사,인원수,
경기,2008,치과의사,인원수,3823
경기,2008,한의사,인원수,2598
경기,2008,조산사,인원수,212
경기,2008,간호사,인원수,17442
경기,2008,간호조무사,인원수,20041
경기,2008,의료기사,인원수,14283
경기,2008,의무기록사,인원수,452
경기,2008,약사,인원수,547
강원,2008,합계,인원수,11324
강원,2008,상근의사,인원수,1926
강원,2008,비상근의사,인원수,
강원,2008,치과의사,인원수,475
강원,2008,한의사,인원수,351
강원,2008,조산사,인원수,1
강원,2008,간호사,인원수,3423
강원,2008,간호조무사,인원수,3107
강원,2008,의료기사,인원수,1857
강원,2008,의무기록사,인원수,63
강원,2008,약사,인원수,121
충북,2008,합계,인원수,10569
충북,2008,상근의사,인원수,1722
충북,2008,비상근의사,인원수,1
충북,2008,치과의사,인원수,366
충북,2008,한의사,인원수,383
충북,2008,조산사,인원수,4
충북,2008,간호사,인원수,2307
충북,2008,간호조무사,인원수,3789
충북,2008,의료기사,인원수,1827
충북,2008,의무기록사,인원수,91
충북,2008,약사,인원수,79
충남,2008,합계,인원수,14330
충남,2008,상근의사,인원수,2156
충남,2008,비상근의사,인원수,29
충남,2008,치과의사,인원수,643
충남,2008,한의사,인원수,463
충남,2008,조산사,인원수,18
충남,2008,간호사,인원수,3032
충남,2008,간호조무사,인원수,4859
충남,2008,의료기사,인원수,2632
충남,2008,의무기록사,인원수,108
충남,2008,약사,인원수,390
전북,2008,합계,인원수,15208
전북,2008,상근의사,인원수,2641
전북,2008,비상근의사,인원수,1
전북,2008,치과의사,인원수,602
전북,2008,한의사,인원수,499
전북,2008,조산사,인원수,18
전북,2008,간호사,인원수,3677
전북,2008,간호조무사,인원수,4394
전북,2008,의료기사,인원수,2983
전북,2008,의무기록사,인원수,203
전북,2008,약사,인원수,190
전남,2008,합계,인원수,15461
전남,2008,상근의사,인원수,2200
전남,2008,비상근의사,인원수,13
전남,2008,치과의사,인원수,457
전남,2008,한의사,인원수,362
